"'Loco csv export: Comma separated values"
"'Project: po_synaptic-uz.po conversion"
"'Release: Working copy"
"'Locales: ru-UZ, uz"
"'Exported by: Unregistered user"
"'Exported at: Fri, 28 Jan 2022 11:53:12 +0500"
"Asset ID","Russian (Uzbekistan), ru-UZ","Uzbek, uz","Notes"
"Libraries","Libraries","Кутубхоналар","TRANSLATORS: Alias for the Debian package section ""libs"""
"lisp-programming-language","Lisp Programming Language","","TRANSLATORS: Alias for the Debian package section ""lisp"""
"Localization","Localization","","TRANSLATORS: Alias for the Debian package section ""localization"""
"Email","Email","Э-почта","TRANSLATORS: Alias for the Debian package section ""mail"""
"Mathematics","Mathematics","Математика","TRANSLATORS: Alias for the Debian package section ""math"""
"miscellaneous-text-based","Miscellaneous - Text Based","Ҳар хил - Матнга асосланган","TRANSLATORS: Alias for the Debian package section ""misc"""
"Networking","Networking","Тармоқда ишлаш","TRANSLATORS: Alias for the Debian package section ""net"""
"Newsgroup","Newsgroup","Янгиликлар гуруҳи","TRANSLATORS: Alias for the Debian package section ""news"""
"ocaml-programming-language","OCaml Programming Language","","TRANSLATORS: Alias for the Debian package section ""ocaml"""
"libraries-old","Libraries - Old","Кутубхоналар - Эски","TRANSLATORS: Alias for the Debian package section ""oldlibs"""
"cross-platform","Cross Platform","Кросс платформа","TRANSLATORS: Alias for the Debian package section ""otherosfs"""
"perl-programming-language","Perl Programming Language","Perl дастурлаш тили","TRANSLATORS: Alias for the Debian package section ""perl"""
"php-programming-language","PHP Programming Language","","TRANSLATORS: Alias for the Debian package section ""php"""
"python-programming-language","Python Programming Language","Python дастурлаш тили","TRANSLATORS: Alias for the Debian package section ""python"""
"ruby-programming-language","Ruby Programming Language","","TRANSLATORS: Alias for the Debian package section ""ruby"""
"Science","Science","Фан","TRANSLATORS: Alias for the Debian package section ""science"""
"Shells","Shells","Терминаллар","TRANSLATORS: Alias for the Debian package section ""shells"""
"Multimedia","Multimedia","Мультимедия","TRANSLATORS: Alias for the Debian package section ""sound"""
"Tasks","Tasks","Вазифалар","TRANSLATORS: Alias for the Debian package section ""task"""
"tex-authoring","TeX Authoring","","TRANSLATORS: Alias for the Debian package section ""tex"""
"word-processing","Word Processing","Сўз жараёнлари","TRANSLATORS: Alias for the Debian package section ""text"""
"Utilities","Utilities","Воситалар","TRANSLATORS: Alias for the Debian package section ""utils"""
"version-control-systems","Version Control Systems","","TRANSLATORS: Alias for the Debian package section ""vcs"""
"video-software","Video software","","TRANSLATORS: Alias for the Debian package section ""video"""
"world-wide-web","World Wide Web","WWW","TRANSLATORS: Alias for the Debian package section ""web"""
"miscellaneous-graphical-9bfbde1fcc511793d3961c7a957c148b","Miscellaneous  - Graphical","Ҳар хил  - График","TRANSLATORS: Alias for the Debian package section ""x11"""
"xfce-desktop-environment","Xfce Desktop Environment","","TRANSLATORS: Alias for the Debian package section ""xfce"""
"zope-plone-environment","Zope/Plone Environment","","TRANSLATORS: Alias for the Debian package section ""zope"""
"Unknown","Unknown","Номаълум","TRANSLATORS: The section of the package is not known"
"converted-from-rpm-by-alien","Converted From RPM by Alien","Alien ёрдамида RPM'дан ўгирилган","TRANSLATORS: Alias for the Debian package section ""alien"""
"internationalization-and-localization","Internationalization and localization","Таржима ва маҳаллийлаштириш","TRANSLATORS: Ubuntu translations section"
"meta-packages","Meta Packages","Мета пакетлар","TRANSLATORS: metapackages section"
"Education","Education","","TRANSLATORS: Alias for the Debian package section ""education"""
"gobject-introspection-data","GObject Introspection data","","TRANSLATORS: Alias for the Debian package section ""introspection"""
"restricted-on-export","Restricted On Export","Экспорт қилишда чекланган","TRANSLATORS: Alias for the Debian package section ""non-US""
Export to the outside of the USA is not allowed
or restricted"
"non-free","non free","Эркин эмас","TRANSLATORS: Alias for the Debian package section ""non free"""
"contrib","contrib","ҳисса қўшиш","TRANSLATORS: Alias for the Debian package section ""contrib""
Free software that depends on non-free software"
"stat-failed-for-x","Stat failed for %s","",""
"unable-to-create-a-tmp-file","Unable to create a tmp file","tmp файл яратиб бўлмайди",""
"gzip-failed-perhaps-the-disk-is-full","gzip failed, perhaps the disk is full.","gzip амали муваффақиятсиз якунланди, диск тўла булиши мумкин.",""
"failed-to-reopen-fd","Failed to reopen fd","fd'ни қайта очиш муваффақиятсиз якунланди",""
"failed-to-rename","Failed to rename","Қайта номлаш муваффақиятсиз якунланди",""
"no-valid-records-were-found","No valid records were found.","Яроқли ёзувлар топилмади.",""
"cannot-find-filename-or-size-tag","Cannot find filename or size tag","tag ҳажми ёки файл номи топилмади",""
"error-parsing-file-record","Error parsing file record","",""
"failed-to-open-x-new","Failed to open %s.new","%s.янги файлини очиш муваффақиятсиз якунланди",""
"failed-to-rename-x-new-to-x","Failed to rename %s.new to %s","%s.янгини %s'га ўзгартириш муваффақиятсиз якунланди",""
"internal-error","Internal error","Ички хато",""
"Preparing...","Preparing...","Тайёрланмоқда...",""
"unable-to-read-the-cdrom-database-x","Unable to read the cdrom database %s","%s сд ускунаси маълумотлар баъзасини ўқиб бўлмайди",""
"unmounting-cd-rom","Unmounting CD-ROM...","CD-ROM узилмоқда...",""
"waiting-for-disc","Waiting for disc...","Диск кутилмоқда...",""
"insert-a-disc-in-the-drive","Insert a disc in the drive.","Ускунага дискни киритинг.",""
"mounting-cd-rom","Mounting CD-ROM...","CD-ROM уланмоқда...","Mount the new CDROM"
"failed-to-mount-the-cdrom","Failed to mount the cdrom.","Сdrom уланиши муваффақиятсиз якунланди.",""
"identifying-disc","Identifying disc...","Диск аниқлаштирилмоқда...",""
"couldnt-identify-disc","Couldn't identify disc.","Диск анқилаштирилмади...",""
"scanning-disc","Scanning disc...","Диск текширилмоқда...",""
"cleaning-package-lists","Cleaning package lists...","Пакетлар рўйхати тозаланмоқда...",""
"unable-to-locate-any-package-files-perhaps-this-is-not-an-apt-enabled-disc","Unable to locate any package files. Perhaps this is not an APT enabled disc.","Бирорта ҳам пакетлар файлини жойлаштириб бўлмади. Балки у APT ёқилмаган диск бўлиши мумкин",""
"disc-not-successfully-scanned","Disc not successfully scanned.","Диск муваффақиятли текширилмади",""
"empty-disc-name","Empty disc name.","Диск номини бўшатинг.",""
"registering-disc","Registering disc...","Диск рўйхатдан ўтказилмоқда...",""
"copying-package-lists","Copying package lists...","Пакетлар рўйхатидан нусха олинмоқда...",""
"writing-sources-list","Writing sources list...","Манба рўйхати ёзилмоқда...",""
"done","Done!","Тайёр!",""
"failed-to-stat-xx","Failed to stat %s%s","",""
"unable-to-change-to-x","Unable to change to %s","%s'га алмаштириб бўлмади",""
"unable-to-read-x","Unable to read %s","%s'ни ўқиб бўлмади",""
"error-couldnt-open-x-for-writing","ERROR: couldn't open %s for writing","ХАТО: %s ёзиш учун очилмади",""
"error-could-not-get-password-entry-for-superuser","ERROR: Could not get password entry for superuser","ХАТО: суперфойдаланувчи кириши учун махфий сўз олинмади",""
"error-could-not-create-configuration-directory-x","ERROR: could not create configuration directory %s","ХАТО: %s мосламалар директорияси яратилмади",""
"error-could-not-create-state-directory-x","ERROR: could not create state directory %s","",""
"error-could-not-create-tmp-directory-x","ERROR: could not create tmp directory %s","ХАТО: %s tmp директорияси яратилмади",""
"error-could-not-create-log-directory-x","ERROR: could not create log directory %s","ХАТО: %s журнал директорияси яратилмади",""
"couldnt-open-x-for-writing","couldn't open %s for writing","%s ёзиш учун очилмади",""
"successfully-applied-all-changes-you-can-close-the-window-now","
Successfully applied all changes. You can close the window now.","
Ҳамма ўзгаришлар муваффақиятли амалга оширилди. Ҳозир ойнани ёпишингиз мумкин.",""
"not-all-changes-and-updates-succeeded-for-further-details-of-the-failure-please-expand-the-details-p","
Not all changes and updates succeeded. For further details of the failure, please expand the 'Details' panel below.","",""
"successfully-installed-all-packages-of-the-current-medium-to-continue-the-installation-with-the-next","
Successfully installed all packages of the current medium. To continue the installation with the next medium close this window.","",""
"the-list-of-installed-files-is-only-available-for-installed-packages","The list of installed files is only available for installed packages","Ўрнатилган файллар рўйхати фақат ўрнатилган пакетлар учун мавжуд.",""
"or-dependency","or dependency","ёки бошқа пакетга боғлиқ",""
"package-x-has-no-available-version-but-exists-in-the-database-this-typically-means-that-the-package-","
Package %s has no available version, but exists in the database.
This typically means that the package was mentioned in a dependency and never uploaded, has been obsoleted or is not available with the contents of sources.list
","",""
"x-x-but-x-is-to-be-installed","	%s %s but %s is to be installed","	%s %s аммо %s ўрнатилади.","TRANSLATORS: dependency error message, example:
""apt 0.5.4 but 0.5.3 is to be installed"""
"x-x-x-but-x-is-to-be-installed"," %s: %s %s but %s is to be installed"," %s: %s %s аммо %s ўрнатилади","TRANSLATORS: dependency error message, example:
""Depends: apt 0.5.4 but 0.5.3 is to be installed"""
"x-x-but-it-is-not-installable","	%s %s but it is not installable","	%s %s аммо ўрнатиб бўлмайди","TRANSLATORS: dependency error message, example:
""apt 0.5.4 but it is not installable"""
"x-but-it-is-a-virtual-package","	%s but it is a virtual package","	%s аммо виртуал пакет","TRANSLATORS: dependency error message, example:
""apt but it is a virtual package"""
"x-x-but-it-is-a-virtual-package","%s: %s but it is a virtual package","%s: %s аммо у виртуал пакет","TRANSLATORS: dependency error message, example:
""Depends: apt but it is a virtual package"""
"x-but-it-is-not-going-to-be-installed","	%s but it is not going to be installed","	%s аммо ўрнатиб бўлмайди","TRANSLATORS: dependency error message, example:
""apt but it is not going to be installed"""
"x-x-but-it-is-not-going-to-be-installed","%s: %s but it is not going to be installed","%s: %s аммо ўрнатиб бўлмайди.","TRANSLATORS: dependency error message, example:
""Depends: apt but it is not going to be installed"""
"or"," or"," ёки",""
"invalid-record-in-the-preferences-file-no-package-header","Invalid record in the preferences file, no Package header","",""
"Depends","Depends","Бошқа файл билан боғлиқлар",""
"PreDepends","PreDepends","",""
"Suggests","Suggests","Тавсиялар",""
"Recommends","Recommends","Маслаҳатлар",""
"Conflicts","Conflicts","Зиддиятлар",""
"Replaces","Replaces","Алмаштиришлар",""
"Obsoletes","Obsoletes","Эскирганлар",""
"Breaks","Breaks","",""
"Enhances","Enhances","",""
"dependency-of","Dependency of","Қарамлик","make sure this is always the last member"
"marked-for-installation","Marked for installation","Ўрнатиш учун белгиланган",""
"marked-for-re-installation","Marked for re-installation","Қайта ўрнатиш учун белгиланган",""
"marked-for-upgrade","Marked for upgrade","Янгилаш учун белгиланган",""
"marked-for-downgrade","Marked for downgrade","",""
"marked-for-removal","Marked for removal","Ўчириш учун белгиланган",""
"marked-for-complete-removal","Marked for complete removal","Бутунлай олиб ташлаш учун белиланган",""
"not-installed","Not installed","Ўрнатилмаган",""
"not-installed-locked","Not installed (locked)","Ўрнатилмаган (қулфланган)",""
"Installed","Installed","Ўрнатилган",""
"installed-upgradable","Installed (upgradable)","Урнатилган (янгиласа булади)",""
"installed-locked-to-the-current-version","Installed (locked to the current version)","Ўрнатилган (ҳозирги версия учун қулфланган)",""
"Broken","Broken","Бузилган",""
"not-installed-new-in-repository","Not installed (new in repository)","Ўрнатилмаган (репозиторийларда янги)",""
"the-list-of-sources-could-not-be-read-go-to-the-repository-dialog-to-correct-the-problem-c9019653db8","The list of sources could not be read.
Go to the repository dialog to correct the problem.","Манбалар рўйхатини ўқиб бўлмади.
Муаммони ҳал қилиш учун репозиторийлар ойнасига ўтинг.",""
"the-package-lists-or-status-file-could-not-be-parsed-or-opened","The package lists or status file could not be parsed or opened.","",""
"internal-error-non-zero-counts","Internal Error, non-zero counts","",""
"Name","Name","Номи",""
"Description","Description","Таърифи",""
"Maintainer","Maintainer","Таъминловчи",""
"Version","Version","Версияси",""
"Provides","Provides","",""
"ReverseDepends","ReverseDepends","",""
"Origin","Origin","Туғилган жойи","Reverse Depends"
"Component","Component","Компонент","Origin (e.g. security.debian.org)"
"Status","Status","Ҳолати",""
"Pattern","Pattern","Намуна","g_object_set(G_OBJECT(renderer), ""editable"", TRUE, NULL);"
"Section","Section","Бўлим",""
"Priority","Priority","Муҳимлик даражаси",""
"ReducedView","ReducedView","",""
"File","File","Файл",""
"bad-regular-expression-x-in-reducedview-file","Bad regular expression '%s' in ReducedView file.","",""
"internal-error-opening-cache-x-please-report","Internal error opening cache (%d). Please report.","",""
"unable-to-correct-dependencies","Unable to correct dependencies","",""
"unable-to-mark-upgrades-check-your-system-for-errors-ee6052c20b067e7987f87b606b34e8c8","Unable to mark upgrades
Check your system for errors.","Янгилашлар учун белгилаб бўлмади
Тизимингиз хатоларин текшириб кўринг.",""
"internal-error-allupgrade-broke-stuff-please-report","Internal Error, AllUpgrade broke stuff. Please report.","",""
"dist-upgrade-failed","dist upgrade Failed","Янгилаш муваффақиятсиз якунланди",""
"unable-to-lock-the-list-directory","Unable to lock the list directory","Директория рўйхатини қулфлаб бўлмайди",""
"release-files-for-some-repositories-could-not-be-retrieved-or-authenticated-such-repositories-are-be","Release files for some repositories could not be retrieved or authenticated. Such repositories are being ignored.","",""
"ignoring-invalid-records-in-sources-list-file","Ignoring invalid record(s) in sources.list file!","",""
"failed-to-fetch-x-x-8602ab2be6e1fde8990e9498322ba1ae","Failed to fetch %s
  %s

","%s'ни олиш муваффақиятсиз якунланди
  %s

","TRANSLATORS: Error message after a failed download.
The first %s is the URL and the second
one is a detailed error message that
is provided by apt"
"some-of-the-packages-could-not-be-retrieved-from-the-servers","Some of the packages could not be retrieved from the server(s).
","",""
"do-you-want-to-continue-ignoring-these-packages","Do you want to continue, ignoring these packages?","",""
"unable-to-correct-missing-packages","Unable to correct missing packages","",""
"removed-the-following-essential-packages","
Removed the following ESSENTIAL packages:
","","_logEntry += _(""\n<b>Removed the following ESSENTIAL packages:</b>\n"");"
"downgraded-the-following-packages","
Downgraded the following packages:
","","_logEntry += _(""\n<b>Downgraded the following packages:</b>\n"");"
"completely-removed-the-following-packages","
Completely removed the following packages:
","
Қўйидаги пакетлар бутунлай олиб ташланди:
","_logEntry += _(""\n<b>Completely removed the following packages:</b>\n"");"
"removed-the-following-packages","
Removed the following packages:
","
Қўйидаги пакетлар олиб ташланди:
","_logEntry += _(""\n<b>Removed the following packages:</b>\n"");"
"upgraded-the-following-packages","
Upgraded the following packages:
","
Қўйидаги пакетлар янгиланди:
","_logEntry += _(""\n<b>Upgraded the following packages:</b>\n"");"
"installed-the-following-packages","
Installed the following packages:
","
Қуйидаги пакетлар ўрнатилди:
","_logEntry += _(""\n<b>Installed the following packages:</b>\n"");"
"reinstalled-the-following-packages","
Reinstalled the following packages:
","
Қуйидаги пакетлар қайта ўрнатилди:
","_logEntry += _(""\n<b>Reinstalled the following packages:</b>\n"");"
"unable-to-lock-the-download-directory","Unable to lock the download directory","Ёзиб олиш директориясини қулфлаб бўлмади",""
"line-x-too-long-in-markings-file","Line %u too long in markings file.","Белгиланган файллардаги %u сатри жуда узун.",""
"malformed-line-x-in-markings-file","Malformed line %u in markings file","",""
"setting-markings","Setting markings...","... белгиланганлар мосланмоқда",""
"bzip2-failed-perhaps-the-disk-is-full","bzip2 failed, perhaps the disk is full.","bzip2 муваффақиятсиз якунланди, дик тўла бўлиши мумкин.",""
"Sections","Sections","Бўлимлар",""
"Alphabetic","Alphabetic","Алфавит тарзида",""
"Architecture","Architecture","",""
"search-history","Search History","Қидирув тарихи",""
"Custom","Custom","Бошқа",""
"installed-unsupported","Installed (unsupported)","Ўрнатилган (мос келмайдиган)",""
"not-installed-unsupported","Not installed (unsupported)","Ўрнатилмаган (мос келмайдиган)",""
"installed-auto-removable","Installed (auto removable)","Ўрнатилди (авто ўчирса бўладиган)",""
"installed-manual","Installed (manual)","",""
"broken-dependencies","Broken dependencies","",""
"new-in-repository","New in repository","Репозиторийларда янги",""
"Pinned","Pinned","",""
"installed-local-or-obsolete","Installed (local or obsolete)","",""
"not-installed-residual-config","Not installed (residual config)","",""
"Searching","Searching","","setup search progress (0 done, _all.size() in total, 1 subtask)"
"search-filter","Search Filter","Қидирув фильтери",""
"reduced-view","Reduced View","",""
"marked-changes","Marked Changes","Ўзгаришлар белгиланган",""
"package-with-debconf","Package with Debconf","","TRANSLATORS: This is a filter that will give you all packages
with debconf support (that can be reconfigured with debconf)"
"upgradable-upstream","Upgradable (upstream)","",""
"community-maintained-installed","Community Maintained (installed)","",""
"missing-recommends","Missing Recommends","",""
"Local","Local","Маҳаллий",""
"not-automatic","Not automatic: ","","std::cerr << ""version.second: "" << version.second
<< "" origin_str: "" << suite << std::endl;"
"cant-read-x","Can't read %s","%s ўқилмади",""
"syntax-error-in-line-x","Syntax error in line %s","",""
"vendor-block-x-is-invalid","Vendor block %s is invalid","",""
"usage-synaptic-options","Usage: synaptic [options]
","",""
"h-this-help-text-daa1115cbf62435d8bd2a97a9cf11b9a","-h   This help text
","-h   Бу ёрдам матни
",""
"r-open-in-the-repository-screen-1a013b37704d6a56f640e33fb4d7563f","-r   Open in the repository screen
","-r   Репозиторий экранида очиш
",""
"f-give-an-alternative-filter-file","-f=? Give an alternative filter file
","-f=? Муқобил фильтер файлини бериш
",""
"t-give-an-alternative-main-window-title-e-g-hostname-with-uname-n-e6408b66f6c5b3a9cb035df287099237","-t   Give an alternative main window title (e.g. hostname with `uname -n`)
","",""
"i-start-with-the-initial-filter-with-given-name","-i=? Start with the initial Filter with given name
","",""
"o-set-an-arbitrary-configuration-option-eg-o-dir-cache-tmp","-o=? Set an arbitrary configuration option, eg -o dir::cache=/tmp
","",""
"upgrade-mode-call-upgrade-and-display-changes-b3e0d3ac3ae1504153ecc00fc841271a","--upgrade-mode  Call Upgrade and display changes
","",""
"dist-upgrade-mode-call-distupgrade-and-display-changes-86b7570fb8f33e77a7b03c37f3e43d50","--dist-upgrade-mode  Call DistUpgrade and display changes
","",""
"update-at-startup-call-reload-on-startup-3fa9778525eaffb5b994c33a810b0bb4","--update-at-startup  Call ""Reload"" on startup
","",""
"non-interactive-never-prompt-for-user-input","--non-interactive Never prompt for user input
","",""
"task-window-open-with-task-window","--task-window Open with task window
","",""
"add-cdrom-add-a-cdrom-at-startup-needs-path-for-cdrom","--add-cdrom Add a cdrom at startup (needs path for cdrom)
","",""
"ask-cdrom-ask-for-adding-a-cdrom-and-exit","--ask-cdrom Ask for adding a cdrom and exit
","",""
"test-me-harder-run-test-in-a-loop-e7752ab6bf2ce1c27ee38e541f8ed0fe","--test-me-harder  Run test in a loop
","",""
"another-synaptic-is-running","Another synaptic is running","Бошка Synaptic ёкилган",""
"there-is-another-synaptic-running-in-interactive-mode-please-close-it-first","There is another synaptic running in interactive mode. Please close it first. ","",""
"there-is-another-synaptic-running-in-non-interactive-mode-please-wait-for-it-to-finish-first","There is another synaptic running in non-interactive mode. Please wait for it to finish first.","",""
"unable-to-get-exclusive-lock","Unable to get exclusive lock","",""
"this-usually-means-that-another-package-management-application-like-apt-get-or-aptitude-is-already-r","This usually means that another package management application (like apt-get or aptitude) is already running. Please close that application first.","",""
"starting-synaptic-package-manager-without-administrative-privileges","Starting ""Synaptic Package Manager"" without administrative privileges","",""
"you-will-not-be-able-to-apply-any-changes-but-you-can-still-export-the-marked-changes-or-create-a-do","You will not be able to apply any changes, but you can still export the marked changes or create a download script for them.","",""
"synaptic-package-manager","Synaptic Package Manager ","Synaptic Package Manager ",""
"scanning-cd-rom","Scanning CD-ROM","CD-ROM текширилмоқда",""
"invalid-disc-name","Invalid disc name!","Диск номи яроқсиз!",""
"disc-label","Disc Label","Диск ёрлиғи",""
"Credits","Credits","Тузувчилар рўйхати",""
"about-synaptic","About Synaptic","Synaptic ҳақида","skipTaskbar(true);"
"downloading-changelog","Downloading Changelog","",""
"the-changelog-contains-information-about-the-changes-and-closed-bugs-in-each-version-of-the-package","The changelog contains information about the changes and closed bugs in each version of the package.","",""
"x-changelog","%s Changelog","","TRANSLATORS: Title of the changelog dialog - %s is the name of the package"
"package-changes","Package changes","Пакет ўзгаришлар",""
"Warning","Warning","Диққат",""
"you-are-about-to-install-software-that-cant-be-authenticated-doing-this-could-allow-a-malicious-indi","You are about to install software that <b>can't be authenticated</b>! Doing this could allow a malicious individual to damage or take control of your system.","",""
"not-authenticated","NOT AUTHENTICATED","",""
"to-be-removed","To be removed","Ўчирилади","removed"
"to-be-downgraded","To be downgraded","",""
"to-be-installed","To be installed","Ўрнатилади",""
"to-be-upgraded","To be upgraded","Янгиланади",""
"to-be-re-installed","To be re-installed","Қайта ўрнитилади",""
"to-be-kept","To be kept","",""
"replace-configuration-file-x-271a400059933f97490f704862d33f93","Replace configuration file
'%s'?","",""
"the-configuration-file-x-was-modified-by-you-or-by-a-script-an-updated-version-is-shipped-in-this-pa","The configuration file %s was modified (by you or by a script). An updated version is shipped in this package. If you want to keep your current version say 'Keep'. Do you want to replace the current file and install the new package maintainers version? ","",""
"applying-changes","Applying Changes","",""
"Copy","Copy","",""
"select-all","Select All","",""
"ctrl-c-pressed","Ctrl-c pressed","",""
"this-will-abort-the-operation-and-may-leave-the-system-in-a-broken-state-are-you-sure-you-want-to-do","This will abort the operation and may leave the system in a broken state. Are you sure you want to do that?","",""
"error-in-package-x","Error in package %s","","error from dpkg, needs to be parsed different"
"trying-to-recover-from-package-failure","Trying to recover from package failure","","running dpkg --configure -a"
"error-failed-to-fork-pty","Error failed to fork pty","",""
"a-package-failed-to-install-trying-to-recover-23afc8cb3b9d454be1d82b59091c79e2","A package failed to install.  Trying to recover:","",""
"changes-applied","Changes applied","",""
"the-marked-changes-are-now-being-applied-this-can-take-some-time-please-wait","The marked changes are now being applied. This can take some time. Please wait.","",""
"installing-and-removing-software","Installing and removing software","",""
"removing-software","Removing software","",""
"installing-software","Installing software","",""
"description-and-name","Description and Name","",""
"Dependencies","Dependencies","",""
"provided-packages","Provided packages","","depends, predepends etc"
"Supported","Supported","",""
"package-name","Package Name","",""
"installed-version","Installed Version","",""
"latest-version","Latest Version","",""
"Size","Size","",""
"download-size","Download Size","",""
"keep-configuration","Keep Configuration","",""
"Completely","Completely","",""
"always-ask","Always Ask","",""
"Ignore","Ignore","",""
"Automatically","Automatically","",""
"default-upgrade","Default Upgrade","",""
"smart-upgrade","Smart Upgrade","",""
"an-error-occurred-while-saving-configurations","An error occurred while saving configurations.","",""
"choose-font","Choose font","",""
"color-selection","Color selection","",""
"prefer-package-versions-from-the-selected-distribution-when-upgrading-packages-if-you-manually-force","Prefer package versions from the selected distribution when upgrading packages. If you manually force a version from a different distribution, the package version will follow that distribution until it enters the default distribution.","",""
"never-upgrade-to-a-new-version-automatically-be-very-careful-with-this-option-as-you-will-not-get-se","Never upgrade to a new version automatically. Be _very_ careful with this option as you will not get security updates automatically! If you manually force a version the package version will follow the chosen distribution.","",""
"let-synaptic-pick-the-best-version-for-you-if-unsure-use-this-option","Let synaptic pick the best version for you. If unsure use this option. ","",""
"Visible","Visible","",""
"Preferences","Preferences","",""
"Package","Package","",""
"URI","URI","",""
"please-insert-the-disk-labeled-x-in-drive-x-c31827e9360cc2e63ca3d56d17d4653f","Please insert the disk labeled:
%s
in drive %s","",""
"download-rate-x-s-x-remaining","Download rate: %s/s - %s remaining","",""
"download-rate","Download rate: ...","",""
"downloading-file-li-of-li","Downloading file %li of %li","",""
"Queued","Queued","",""
"Done","Done","",""
"Hit","Hit","",""
"Failed","Failed","",""
"Filters","Filters","",""
"Field","Field","",""
"Operator","Operator","",""
"new-filter-i","New Filter %i","",""
"package-manager-output","Package Manager output","",""
"while-installing-package-x","
While installing package %s:

","",""
"while-preparing-for-installation","
While preparing for installation:

","",""
"apt-system-reports-x-052070495dd5c568d9a2b261c681b069","APT system reports:
%s","",""
"not-found","Not found","",""
"expression-was-found-please-see-the-list-on-the-left-for-matching-entries","Expression was found, please see the list on the left for matching entries.","",""
"_Close","_Close","",""
"x-properties","%s Properties","",""
"this-application-is-supported-by-the-distribution","This application is supported by the distribution","",""
"get-screenshot","Get Screenshot","",""
"get-changelog","Get Changelog","",""
"visit-homepage","Visit Homepage","",""
"x-x","%s (%s)","","TRANSLATORS: this the format of the available versions in
the ""Properties/Available versions"" window
e.g. ""0.56 (unstable)""
""0.53.4 (testing)"""
"S","S","","TRANSLATORS: Column header for the column ""Status"" in the package list"
"Download","Download","",""
"Dependants","Dependants","",""
"dependencies-of-the-latest-version","Dependencies of the Latest Version","",""
"provided-packages-ff9f856702ebdc1b24261a279cee2511","Provided Packages","",""
"All","All","",""
"no-package-is-selected","No package is selected.
","",""
"select-the-version-of-x-that-should-be-forced-for-installation","Select the version of %s that should be forced for installation","",""
"the-package-manager-always-selects-the-most-applicable-version-available-if-you-force-a-different-ve","The package manager always selects the most applicable version available. If you force a different version from the default one, errors in the dependency handling can occur.","",""
"rebuilding-search-index","Rebuilding search index","",""
"quick-filter","Quick filter","",""
"reload-the-package-information-to-become-informed-about-new-removed-or-upgraded-software-packages","Reload the package information to become informed about new, removed or upgraded software packages.","",""
"mark-all-possible-upgrades","Mark all possible upgrades","",""
"apply-all-marked-changes","Apply all marked changes","",""
"view-package-properties","View package properties","",""
"search-for-packages","Search for packages","",""
"Unmark","Unmark","",""
"mark-for-installation","Mark for Installation","",""
"mark-for-reinstallation","Mark for Reinstallation","",""
"mark-for-upgrade","Mark for Upgrade","",""
